time	I(Iprim)
1.1108000000023543e-06	-23.76396838168471
1.1109999999980857e-06	-23.79625655828764
1.111200000000756e-06	-23.82847615834712
1.1114000001005708e-06	-23.860627194759555
1.1115999999991577e-06	-23.89270968052389
1.111800000001828e-06	-23.92472362874151
1.1119999999975594e-06	-23.95666905261612
1.1122000000002297e-06	-23.98854596545359
1.1124000000029e-06	-24.02035438066188
1.1125999999986314e-06	-24.052094311750885
1.1128000000013016e-06	-24.083765772332324
1.112999999997033e-06	-24.115368776119613
1.1131999999997033e-06	-24.146903336927757
1.1134000000023736e-06	-24.17836946867319
1.113599999998105e-06	-24.209767185373718
1.1138000000007753e-06	-24.24109650114832
1.11400000010059e-06	-24.272357430217088
1.114199999999177e-06	-24.30354998690107
1.1144000000018472e-06	-24.334674185622173
1.1145999999975786e-06	-24.365730040903
1.114800000000249e-06	-24.396717567366764
1.1150000000029192e-06	-24.427636779737167
1.1151999999986506e-06	-24.458487692838244
1.1154000000013209e-06	-24.48927032159427
1.1155999999970523e-06	-24.519984681029623
1.1157999999997226e-06	-24.55063078626868
1.1160000000023929e-06	-24.58120865253565
1.1161999999981242e-06	-24.611718295154528
1.1164000000007945e-06	-24.642159729548887
1.1166000001006093e-06	-24.6725329712418
1.1167999999991962e-06	-24.70283803585572
1.1170000000018665e-06	-24.733074939112345
1.1171999999975979e-06	-24.763243696832497
1.1174000000002682e-06	-24.793344324935997
1.1176000000029385e-06	-24.823376839441536
1.1177999999986699e-06	-24.853341256466592
1.1180000000013401e-06	-24.883237592227236
1.1181999999970715e-06	-24.913065863038064
1.1183999999997418e-06	-24.942826085312063
1.1186000000024121e-06	-24.97251827556048
1.1187999999981435e-06	-25.002142450392682
1.1190000000008138e-06	-25.03169862651609
1.1192000001006286e-06	-25.061186820735976
1.1193999999992155e-06	-25.090607049955405
1.1196000000018858e-06	-25.119959331175075
1.1197999999976171e-06	-25.149243681493207
1.1200000000002874e-06	-25.17846011810543
1.1202000000029577e-06	-25.20760865830464
1.1203999999986891e-06	-25.23668931948087
1.1206000000013594e-06	-25.265702119121205
1.1207999999970908e-06	-25.29464707480961
1.120999999999761e-06	-25.323524204226853
1.1212000000024314e-06	-25.352333525150325
1.1213999999981628e-06	-25.381075055453977
1.121600000000833e-06	-25.409748813108152
1.1218000001006478e-06	-25.438354816179487
1.1219999999992347e-06	-25.466893082830765
1.122200000001905e-06	-25.495363631320817
1.1223999999976364e-06	-25.523766480004383
1.1226000000003067e-06	-25.552101647331984
1.122800000002977e-06	-25.580369151849805
1.1229999999987084e-06	-25.608569012199577
1.1232000000013787e-06	-25.636701247118445
1.12339999999711e-06	-25.66476587543884
1.1235999999997803e-06	-25.69276291608836
1.1238000000024506e-06	-25.720692388089645
1.123999999998182e-06	-25.748554310560255
1.1242000000008523e-06	-25.776348702712543
1.124400000100667e-06	-25.80407558385353
1.124599999999254e-06	-25.831734973384783
1.1248000000019243e-06	-25.859326890802286
1.1249999999976557e-06	-25.88685135569632
1.125200000000326e-06	-25.91430838775134
1.1254000000029962e-06	-25.94169800674584
1.1255999999987276e-06	-25.969020232552253
1.125800000001398e-06	-25.996275085136784
1.1259999999971293e-06	-26.023462584559326
1.1261999999997996e-06	-26.050582750973316
1.1264000000024699e-06	-26.077635604625616
1.1265999999982013e-06	-26.1046211658564
1.1268000000008715e-06	-26.131539455098974
1.1270000001006863e-06	-26.158390492879736
1.1271999999992732e-06	-26.185174299817994
1.1274000000019435e-06	-26.21189089662584
1.127599999997675e-06	-26.238540304108064
1.1278000000003452e-06	-26.265122543161983
1.1280000000030155e-06	-26.291637634777352
1.1281999999987469e-06	-26.318085600036223
1.1284000000014172e-06	-26.344466460112816
1.1285999999971486e-06	-26.370780236273404
1.1287999999998188e-06	-26.39702694987618
1.1290000000024891e-06	-26.423206622371143
1.1291999999982205e-06	-26.44931927529996
1.1294000000008908e-06	-26.47536493029584
1.1296000001007056e-06	-26.50134360908342
1.1297999999992925e-06	-26.52725533347865
1.1300000000019628e-06	-26.553100125388625
1.1301999999976942e-06	-26.5788780068115
1.1304000000003644e-06	-26.60458899983636
1.1306000000030347e-06	-26.630233126643063
1.1307999999987661e-06	-26.65581040950217
1.1310000000014364e-06	-26.68132087077475
1.1311999999971678e-06	-26.706764532912324
1.131399999999838e-06	-26.73214141845669
1.1316000000025084e-06	-26.757451550039814
1.1317999999982398e-06	-26.78269495038372
1.13200000000091e-06	-26.807871642300327
1.1322000001007249e-06	-26.83298164869136
1.1323999999993117e-06	-26.858024992548216
1.132600000001982e-06	-26.883001696951823
1.1327999999977134e-06	-26.90791178507252
1.1330000000003837e-06	-26.93275528016995
1.133200000003054e-06	-26.9575322055929
1.1333999999987854e-06	-26.98224258477921
1.1336000000014557e-06	-27.00688644125563
1.133799999997187e-06	-27.031463798637684
1.1339999999998573e-06	-27.05597468062957
1.1342000000025276e-06	-27.08041911102402
1.134399999998259e-06	-27.104797113702165
1.1346000000009293e-06	-27.12910871263342
1.1348000001007441e-06	-27.15335393187536
1.134999999999331e-06	-27.17753279557359
1.1352000000020013e-06	-27.20164532796162
1.1353999999977327e-06	-27.225691553360736
1.135600000000403e-06	-27.24967149617988
1.1358000000030732e-06	-27.273585180915514
1.1359999999988046e-06	-27.297432632151512
1.136200000001475e-06	-27.321213874559003
1.1363999999972063e-06	-27.34492893289628
1.1365999999998766e-06	-27.368577832008647
1.1368000000025469e-06	-27.392160596828322
1.1369999999982783e-06	-27.415677252374277
1.1372000000009486e-06	-27.43912782375212
1.1374000001007634e-06	-27.46251233615399
1.1375999999993502e-06	-27.485830814858407
1.1378000000020205e-06	-27.50908328523017
1.137999999997752e-06	-27.5322697727202
1.1382000000004222e-06	-27.555390302865444
1.1384000000030925e-06	-27.57844490128872
1.1385999999988239e-06	-27.601433593698605
1.1388000000014942e-06	-27.62435640588932
1.1389999999972256e-06	-27.647213363740583
1.1391999999998959e-06	-27.6700044932175
1.1394000000025661e-06	-27.69272982037042
1.1395999999982975e-06	-27.715389371334822
1.1398000000009678e-06	-27.73798317233119
1.1400000001007826e-06	-27.76051124966488
1.1401999999993695e-06	-27.782973629725976
1.1404000000020398e-06	-27.80537033898922
1.1405999999977712e-06	-27.827701404013812
1.1408000000004415e-06	-27.849966851443348
1.1410000000031117e-06	-27.872166708005643
1.1411999999988431e-06	-27.89430100051263
1.1414000000015134e-06	-27.91636975586024
1.1415999999972448e-06	-27.938373001028246
1.141799999999915e-06	-27.960310763080184
1.1420000000025854e-06	-27.982183069163167
1.1421999999983168e-06	-28.003989946507808
1.142400000000987e-06	-28.025731422428056
1.1426000001008019e-06	-28.04740752432112
1.1427999999993887e-06	-28.069018279667265
1.143000000002059e-06	-28.09056371602976
1.1431999999977904e-06	-28.11204386105472
1.1434000000004607e-06	-28.13345874247096
1.143600000003131e-06	-28.15480838808991
1.1437999999988624e-06	-28.17609282580545
1.1440000000015327e-06	-28.19731208359381
1.144199999997264e-06	-28.218466189513435
1.1443999999999344e-06	-28.23955517170484
1.1446000000026046e-06	-28.26057905839051
1.144799999998336e-06	-28.281537877874754
1.1450000000010063e-06	-28.302431658543604
1.1452000001008211e-06	-28.323260428864646
1.145399999999408e-06	-28.344024217386927
1.1456000000020783e-06	-28.364723052740835
1.1457999999978097e-06	-28.38535696363792
1.14600000000048e-06	-28.405925978870837
1.1462000000031503e-06	-28.426430127313154
1.1463999999988816e-06	-28.446869437919272
1.146600000001552e-06	-28.467243939724284
